de,gsw
Aargau,Aargau
Aargau,Aargau
Aargau,Aargau
ab,ab
aber,Aber
aber,aber
alle,alli
aller,alle
alpine (pl.),Alpine
als,als
als,als
als,als
als,als
alte (F),alt
alten (pl.),alte
am,am
am,am
am,am
am,am
am,am
an,a
an der,ade
andere (pl.),anderi
anderen (N),andere
anders,andersch
anzeigen,aazeige
App,app
Appenzeller,Appezäller
appetitlich,appetitlich
arbeite (ich),schaff
arbeiten,schaffe
arbeiten (sie),schaffed
Artikel,Artikel
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auf,uf
auf dem,ufem
aufgestellt,ufgstellt
aufhänge (ich),ufhänk
August,august
aus,Us
Aussage,uussag
Balkon,Balkon
Baubewilligungen,Baubewilligunge
Bauverordnung,Bauverordnig
Bauverwalter,Bauverwalter
Begriffe,begriff
Beitrag,Biitrag
bekommen (wir),bechöme
Bewilligung,Bewilligung
Bewilligungsfrei,Bewilligungsfrei
bewilligungsfrei,Bewilligungsfrei
bewilligungspflichtig,Bewilligungspflichtig
bist (du),besch
bist (du),bisch
bist (du),bisch
Blödsinn,chabis
Blödsinn,Seich
Blumen,Blueme
bräuchte (er/sie/es),brüchte
Bund,Bund
Bund,Bund
Chef,chef
da,da
da,Da
da,Da
da,da
da,Da
da,da
da,da
da,de
Dach,Dach
dafür,drfür
damit,Damit
dann,Denne
darum,Dorom
darum,Drum
das,Da
das,Da
das,Da
das,Da
das,da
das,Da
das,da
das,Da
das,da
das,Da
das,Daas
das,das
das,das
das,das
das Original,s‘Original
dass,dass
den (pl.),de
den ich,won
der (F),de
der (F),de
der (F),dr
der (M),Dä
der (M),Dä
der (M),Dää
der (M),de
der (M),de
der (M),de
der (M),de
der (M),de
der (M),wo
die,die
die,wo
die (F),d
die (F),de
die (F),die
die (F),die
die (pl.),d
die (pl.),die
die (pl.),die
die (pl.),die
die (pl.),die
die (pl.),die
die Grosättis,d'Grosättis
die Migros,D’Migros
die Steuerzahler,D’stüürzahler
Dinge,Dinger
diverse (pl.),diversi
dran,drii
du,du
durch,düre
durch die,durd
echte (M),ächte
Edit,Edit
effizient,effizient
ein (N),en
ein bisschen,bids
eine,En
eine (F),e
eine (F),en
einem,eim
einen (M),en
einfach,eifach
einfach,eifach
Einsatz,Ihsatz
Ende,Endi
Erfahrungen,erfahrige
erfolgreicher,erfolgriicher
erklären,erkläre
erst,erst
erste (M),erste
Erstellung,Erstellig
erstes,ersts
Etablissement,Etablissement
etwa,öppe
etwa,öppe
etwas,öbis
Fasnacht,fasnacht
Fassade,Fassade
fast,fast
finde (ich),find
Folie,Folie
freiwillig,freiwillig
für,för
für die,fürd
für einen,förne
Ganover,ganove
ganz,ganz
ganz,ganz
gar,gar
gedacht,dänkt
Gegenrichtung,gägerechtig
gehabt,gha
gehabt,gha
gehen,gah
geht (er/sie/es),gaht
geht (er/sie/es),geit
gemacht,gmacht
gemäss,gemäss
genaue (pl.),gnaui
geregelt,gregelt
geschaut,gluegt
Geschmack,Gschmack
geschneit,gschneit
gesehen,gseh
gestern,gester
gestern,gester
gesuchten (pl.),gsuechte
gewesen,gsi
gewesen,gsi
gewesen,gsii
glaube ich,gloub
gleiche (M),glich
googeln,google
Grenzen,Grenze
gross,gross
grünen (pl.),Grüene
grünen (pl.),Grüene
gut,guet
habe (ich),han
habe (ich),han
habe ich,hani
habe ich,hani
hast du,hesch
hat (er/sie/es),hend
hat (er/sie/es),het
hat (er/sie/es),het
hat (er/sie/es),het
hat es (er/sie/es),hets
hinten,hinde
Höchstalemannisch,Höchstalemannisch
Höhe,höhi
hören (sie),losed
ich,i
ich,ich
ich,Ich
ich,ich
im,im
im,im
im,Im
im,im
im,im
im,im
in,i
in,i
in,in
in der,id
in der,ide
in die (F),ide
Infos,Info
Infos,infos
Innenhof,Innehof
ins,is
Interesse,intresse
ist (er/sie/es),esch
ist (er/sie/es),esch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist es,ischs
ja,ja
ja,jo
jugendlichen (pl.),Jugendliche
jungen (pl.),junge
kämpfe (ich),kämpf
kann (er/sie/es),cha
Kanton,Kanton
Kanton,Kanton
Kanton,Kanton
Kantone,Kantön
Karte,Charte
Ketchup,Ketschap
Klimapolitik,Klimapolitik
kommst (du),chunsch
können (sie),chönd
Kopf,grind
kratzen,chratze
kriminellen (pl.),Kriminelle
Kulturgut,Kulturguet
langem,langem
länger,länger
lässt (er/sie/es),lahd
leider,Leider
lieber,lieber
macht (er/sie/es),macht
mal,mol
man,Me
mehr,meh
meinem,mim
meist,meischt
meistens,meischtns
meldepflichtig,Mäldepflichtig
meldepflichtig,Meldepflichtig
Merkblatt,Merkblatt
mich,mech
mir,mer
mit,mit
mit,mit
mit,mit
mit dem,metm
montiert,montiert
Morgen,Morge
morgen,morn
Musik,Musig
müssen (sie),müend
musst (du),muesch
musst (du),muesch
nachgegangen,nochegoh
natürlich,natürlich
nehmen,näh
nicht,ned
nicht,ned
nicht,ned
nicht,ned
nicht,ned
nicht,nid
nicht mehr,nüm
nicht mehr,nümme
nichts,nüt
noch,na
noch,no
noch nicht,noni
nur,nur
nur,nur
nur,nur
nur,nur
oder,oder
oder,oder
platzt (er/sie/es),platzt
Problemen,problem
Produkte,Produkt
Recht,rächt
Recht,recht
Rede,red
reden (sie),redet
regelmässig,regulär
Regeln,regle
Regionen,Regione
repräsentativ,represantiv
schnell,gschnäll
schnell,schnell
schon,scho
schon,scho
schon,scho
schon,scho
schon,scho
schon,scho
schöne (F),schöni
schreibt (er/sie/es),schriibt
Schweiz,schwitz
Schweizer,Schwiizer
Schwierigkeiten,schwerigkeite
schwurblig,schwurblig
sehen,gseh
seit,siit
Sekunden,Sekunde
selber,selber
sich,sich
sicher,sechr
sie (F),si
sie (F),si
sie (pl.),si
sie (pl.),si
sind (er/sie/es),si
sind (sie),send
sind (sie),send
sind (sie),sind
sind (sie),sind
sind (sie),sind
sind (sie),sind
sind (sie),sind
so,eso
so,so
Solaranlagen,Solaraalage
Solaranlagen,Solaraalage
Solaranlagen,Solaraalage
Solaranlagen,Solaraalage
soll (er/sie/es),sött
streiten,striite
Stroh,stroh
Strohmann,strohmann
Stück,Stück
Stunde,stond
technischen (pl.),technische
technischen (pl.),technische
über,über
Ukraine,ukraine
um,am
Umfeld,umfeld
und,ond
und,und
und,und
und,und
und,und
und,und
und,und
und,Und
und,und
unter,unter
Verspätung,verspötig
Verspätung,verspötig
Verspätung,verspötig
viel,viel
viel,viel
Viertel,viertel
vom,vom
von,vo
von,vo
von,vo
von,vo
von,Vo
von,vo
von,vo
wäre (er/sie/es),wär
wegen,wäge
wegen,wäge
weiss (ich),weiss
weitere (pl.),Wiiteri
wem,wäm
wenig,wenig
wenn,wenn
wenn,Wenn
wenn ich,Wenni
wenn sie,wenns
wer,wär
werden (sie),wärde
wie,wie
wie,wie
wie,wie
wie,wie
wieder,wider
wieso,Wieso
will (ich),wotti
wir,mr
Wunder,wunder
würde (er/sie/es),würd
Zeitung,Zyytig
Zeug,züüg
zu,z
zu,zu
zu,Zu
zu wählen,zwähle
Zug,zog
Zug,zog
Zug,zog
Zug,Zug
zur,zur
zweiten (N),zwöite
