de,gsw
ab,Ab
Abend,obed
Abend,obig
aber,aber
aber,Aber
aber,Aber
aber,aber
aber,aber
aber,aber
aber,aber
aber,aber
aber,aber
aber,aber
abgeben,abgeh
Abstand,abstand
ah,Ah
ah,Ah
ah,Ah
ah,Ah
ah,Ah
ah,Ah
ah,Ah
ah,ah
ah,Ah
Ahnung,anig
alle,alli
alle,alli
alles,Alles
alles,Alles
alles,alles
alles,alles
als,als
als,als
als,als
als,as
als,wo
also,Also
also,also
also,aso
alte,alte
alte (pl.),alti
alternativ,Alternativ
am,am
am,am
am,am
am,am
am,am
an,a
an,Ah
an,ah
an das,as
andere (pl.),anderi
anders,anderst
angesehen,agseh
Anschlusszüge,aschlüsszüg
Anzeige,azeig
Anzeige,AZEIG
Apfel,Öpfel
Appenzell,appezöll
Appenzeller Bier,Appezellerbier
Artzt,arzt
Artzt,arzt
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,Au
auch,au
auch,au
auf,uf
auf,uf
auf,uf
auf,uf
auf,uf
auf,uf
auf,uf
auf dem,ufem
aufhängen,ufhenke
aufhören,uffhöre
aufs,ufs
aus,us
aus,UUS
ausgeben,usgeh
ausgehst (du),usgosch
Ausländer,usländer
ausschaffen,usschaffe
aussieht (er/sie/es),usgseht
Bahn,bahn
basiert,basiert
basiert,basiert
Bauchgefühl,buchgfühl
behaftet,behaftet
behalten,bhalte
bei,bi
bei,bi
bei,bi
bei,bi
bei,bi
beim,bim
bekannt,bekannt
Beleidigung,Beleidigung
Belgien,Belgie
bereits,bereits
beschwert (er/sie/es),beschwärt
besser,besser
besser,besser
besser,besser
besser,besser
beste (F),beste
Bett,Bett
Bewerbung,bewerbig
bin (ich),bi
bin (ich),Bin
bist (du),bisch
bist (du),bisch
bitte,Bitte
blau,Blau
blauäugig,blauäugig
braucht (er/sie/es),brucht
braucht (er/sie/es),Brucht
brüllen,brüele
Bünzli,bünzli
Bünzli,bünzli
checke es (ich),checks
Club,club
Covid,covid
da,Do
da,do
dafür,defür
Dampf,Dampf
danke,danke
danke,Danke
danke,Danke
danke,Danke
danke,Danke
danke,Danke
danke,Danke
danke,Merci
danke,Merci
dann,denn
dann,denn
dann,denn
darum,derum
das,da
das,da
das,da
das,da
das,DA
das,da
das,das
das,das
das,das
das,das
das,Das
das,das
das,Das
das,das
das falsche,s‘falsche
das nächste,s'nächste
dass,das
dass,das
dass,dass
dass,dass
dass,dass
dass,Dass
dauert (er/sie/es),duret
davon,devo
dazu,dezue
dein (N),dis
dem,dem
dem,dem
dem,dem
den (M),de
den (M),de
den (M),de
den (M),de
den (M),de
den (pl.),de
denn,den
der,wo
der (F),de
der (F),de
der (F),de
der (M),De
der (M),de
der (M),de
der (M),de
der (M),De
der (M),De
der (M),de
der (M),de
der (M),de
detaillierten (pl.),detaillierte
deutsche,tütschi
Deutsche (F),dütschi
deutsche Flagge,Dütschlandflagge
Deutscher,Dütsche
dich,di
dich,di
dich,dich
die,wo
die (F),d
die (F),d
die (F),die
die (F),Die
die (F),die
die (F),die
die (pl.),d
die (pl.),D
die (pl.),di
die (pl.),die
die (pl.),die
die Antwort,D‘antwort
die Schuhe,dschueh
die Schweizer,dschwiizer
die Webseite,D’website
die Wohnung,d’wohnig
Diesel,diesel
DiktaturunterstützerInnen,DiktaturunderstützerInne
Diskurs,Diskurs
disquialifizierst (du),disqualifiziersch
Dokumentation,Dokumentation
drauf,druf
drauf,druf
du,du
du,Du
du,Du
du bist ein (M),Bischn
echt,echt
echt,echt
echt,echt
echter (M),echte
eher,eher
eigentlich,eigtl
ein (M),e
ein (M),e
ein (M),en
ein (M),en
ein (M),en
ein (M),en
ein (M),en
ein (N),a
ein (N),e
ein (N),eis
ein (N),es
ein (N),es
ein bisschen,Bizli
ein bisschen,bizli
ein bisschen,bizli
ein bisschen,e chli
eine,e
eine (F),e
einen (M),en
einen (M),en
einen (M),en
einfach,eifach
einfach,eifach
Einkommen,ikomme
einseitig,eisitig
einzelnen (pl.),einzelne
empfehlt (er/sie/es),empfiehlt
entscheiden,entscheide
er,Er
er,Er
er,er
erbst (du),überchunsch
erfindet (er/sie/es),erfindet
Erfolg,erfolg
ernähren,ernähre
ernst,ernst
erreichen,erreiche
ersten (F),erste
es,es
es,es
euch,eu
Fähnchen,Fähnli
Fahrradzuschlag,velozueschlag
fährt (er/sie/es),fahrt
Familie,familie
Fanlied,Fanlied
Farben,farbe
finde es (ich),finds
finde ich es,findis
fragen,froge
früh,früeh
funktioniert (er/sie/es),funktioniert
funktioniert (er/sie/es),funktioniert
funktioniert (er/sie/es),funktioniert
für,fur
für,für
für,für
für,für
für,für
für,für
für,für
für,für
für,für
für,für
fürs,fürs
fürs,fürs
Fussball,Fuessball
gar,gar
Gasgrill,Gasgrill
geasgt,gseit
gebastelt,bastlet
gebunden,bunde
gedacht,denkt
gedacht,denkt
gefahren,gfahre
gefällt (er/sie/es),gfallt
gefragt,gfroget
gefunden,gfunde
gegoogelt,googled
gehabt,gha
gehen,go
geht (er/sie/es),gat
gekommen,cho
gemacht,gmacht
gemacht,gmacht
gemacht,gmacht
gemacht,gmacht
gerade,gad
gerade,gad
gerade,gad
gereicht,glanget
gerne,gern
Geschichte,Gschicht
geschrieben,gschribe
geteilt,teilt
gewesen,gsi
gewesen,gsi
geworden,worde
gibt (er/sie/es),git
gibt (er/sie/es),git
glatt,glatt
glaube (ich),glaub
gleichgeschalten,glichgschalte
Globi,Globi
Glück,glück
Gott,Gott
gratis,gratis
Grenzen,grenze
gross,gross
Grosskanton,Grosskanton
gültiges,gültigs
gut,guet
gut,guet
gute (pl.),gueti
guter (M),guete
habe (ich),ha
habe es (ich),has
habe ich,hani
habe ich,hani
habe ich,hani
habe ich,Hanni
haben,ha
haben (sie),hend
haben wir,hemmer
halbe (F),halb
halt,halt
halt,halt
halt,halt
halt,halt
Handy,handy
hassen,hasse
hast (du),hesch
hast (du),hesch
hast (du),hesch
hast (du),hesch
hat (er/eie/es),hät
hat (er/sie/es),het
hat (er/sie/es),het
hat (er/sie/es),Het
hat (er/sie/es),het
hat (er/sie/es),het
hat mich (er/sie/es),hetmi
hätten (sie),hätted
Haus,huus
helfen (sie),hälfed
her,her
herumheulen,umehüle
Herz,Herz
heute,hüt
hier,do
Hinweis,Hiwis
hoch,hoch
höchste (N),höchste
Hörner,hörner
ich,i
ich,I
ich,i
ich,i
ich,i
ich,I
ich,i
ich,I
ich,ich
ich,ich
ich bin,Ibi
ich habe,ha
ihn,ihn
ihn,ihn
ihr (F),ihre
ihre (F),ihri
im,im
im,im
immer,immer
immer,immer
immer,immer
in,i
in,i
in,i
in,i
in,in
in,in
in,in
in dem Fall,demfall
in dem Fall,imfall
in den (pl.),ide
in der,ide
in der,ide
in der,ide
in der,ide
in einer,inere
Infos,infos
interessierte (pl.),interessierti
Internet,Internet
intolerant,intolerant
irgendetwas,irgendöppis
irgendjemandem,irgendöpperem
irgendwas,irgendwas
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
