de,gsw
abartigen,Appártege
abartiges,Appartegs
aber,Aber
aber,aber
aber,Aber
aber,aber
aber,aber
aber,aber
aber,aber
aber,aber
aber,aber
abgedruck,abdrùggt
abgedruck,abdrùggt
Abgrenzung,Abgrenzeg
Abgrenzung,Abgrenzeg
Abländschen,Ààflensche
Abländschen,Òòflensche
Absatz,Absatz
aktuelle,aktuelli
alemannischen,alemannische
alle,Aalì
alle,aalì
alle,au
allem,allem
allen,aùne
alles,aales
Alltag,Alltag
Alpen,Alpe
Alpen,Alpe
Alpen,Alpe
Alphüte,Alphütte
Älpler,Älpler
als,als
als,als
als,als
als,als
als,va
als,va
also,also
also,also
also,also
also,also
also,also
alter,aùter
ältesten,öuteschte
am,Am
am,am
am,am
am,am
amtlichen,amtlichere
an,a
an,aa
an welcher,wa
andere,andere
andere,Anderi
andere,andri
anderen,andre
anderen,òndere
anderen,òndre
anderer,andre
anderes,òndersch
anders,òndersch
anders,òndersch
Änderung,Änderig
Anfang,Aafang
angegeben,aagee
angegeben,aagee
angegeben,òòggee
angepasst,òòpasst
angeschrieben,òògschrìbe
Annonce,Annonce
anstatt,ànstatt
anstatt,ònstatt
April,Apriù
Arbeitsgemeinschaft,Arbìitsgmìinschaft
Art,Art
Artikel,Artikel
Artikeln,Artikel
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,au
auch,aù
auch,ò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,òò
auch,Òò
auch noch,ònò
auf,Uf
auf,uff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
auf,ùff
Auge,Ùug
Auge,Ùug
Auge,Ùùg
Auge,Ùùg
August,Ùugschte
aus,us
aus,us
aus,uss
aus,uss
aus,uss
aus,uss
aus,uss
aus dem,usem
aus dem,ùsem
aus dem,ùsem
aus dem,ussem
aus dem,ussem
Ausgabe,Usgaab
Ausgabe,Usgaab
Ausgabe,Usgaab
Ausgabe,Usgaab
ausgegangen,ussgange
ausgegeben,usaggee
ausgegeben,usaggee
ausgegeben,usaggee
ausgegeben,usaggee
ausgesprochen,ussgspròche
Auslaut,Ussluut
Ausnahme,Ussnàm
ausser dem,user am
Auswanderung,Usswanderig
Autoren,Autore
Autoren,Autore
Bäckerei,Beckeryy
Bäckerei,Belegort
Band,Band
Basler,Basler
Bau,Buu
bauen,buue
Baum,Bǜüm
Baum,Bǜüm
Baum,Bǜǜm
Baum,Bǜǜm
behandelt,behòndlet
Behörde,Behörde
bei,bi
bei,bi
bei,bì
bei,bì
bei,bì
bei,bì
bei einem,bìmena
beiden,bìede
beim,Bìm
beim,bìm
beim,bìm
Beispiel,Byspil
Beispiel,Byspil
Beispiel,Byyspìù
Beispiel,Byyspìù
Beispiel,Byyspìù
Beispielwörter,Byyspìùwörter
Beobachtung,Beobachtig
Berg,Berg
Berge,Bäärga
Berge,Bäärga
Berge,Bäärge
Berge,Bärg
Berge,Bärga
Berge,Bärge
Bergen,Bäärga
Bericht,Bericht
berichtet,prìchtet
Bern,Bärn
Berndeutschen,Bärntütsche
Berner,Bärner
Berner,Bärner
Berner,Bärner
Berner,Bärner
Berner,Bärner
Berner,Berner
Bernischen,Bäärnesche
Bernischen,Bäärnesche
Bernischen,Bäärnesche
Beschreibung,Bschryybeg
beschrieben,bìschrìbe
beschrieben,bschrìbe
Besiedlung,Bsiidlig
besonders,bsùnders
besonders,bsùnders
besonders,bsùnders
besten,beschte
bin ich,bini
Bindung,Bìndeg
Bindung,Bìndeg
Bindung,Bindig
Bindung,Bindung
bis,bis
bis,bis
bis,bis
bis,bis
Blatt,Blatt
Blei,Blyy
Blockbau,Blockbau
Brot,Broot
Brot,Bruet
Buch,Buech
Buch,Buech
Buch,Buech
Buch,Buech
Buch,Bürgisser
Bulle,Boù
Bullen,Bulle
Bürokratie,Bürokratyy
Butter,Òòche
Butter,Òòhe
da,do
dafür,defür
dafür,derfǜǜr
dagegen,dergäge
dagegen,dergäge
dagegen,dergäge
dagegen,dergäge
damals,dertemool
damit,mit däm
damit,mit däm
daneben,Dernäbe
daneben,dernäbe
dann,de
dann,de
darauf,dròò
darüber,drùber
darüberhinaus,Drùberuus
darüberhinaus,drùberuus
darüberhinaus,drùberuus
das,daas
das,das
das,ds
das,Ds
das,ds
das,ds
das,ds
das,ds
das,ds
das,Ds
das,ds
das,ds
das,ds
das,ds
das,Ds
das,ds
das,ds
das,ds
das,s
das,s
das,s
das,s
das,s
das,s
dass,dass
dass,dass
dass,dass
dass,dass
dass,dass
dass,dass
dass,dass
dass,dass
dass,dass
davon,dervòò
davon,devo
davor,devor
dazu,derzue
dazu,Drzue
dem,am
dem,däm
dem,däm
dem,em
dem,em
dem,em
dem,em
den,dä
den,de
den,de
den,de
den,de
den,de
den,de
den,de
den,wa
den (M),de
den (M),de
den (M),de
den (M),de
den (M),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),de
den (pl.),derre
denen,dänne
denen,dänne
dennoch,deno
dennoch,deno
der,de
der,de
der,de
der,de
der,der
der,der
der,dr
der,Dr
der,dr
der,dr
der,dr
der,Dr
der,dr
der,dr
der,dr
der,dr
der,dr
der,dr
der,dr
der,Dr
der,Dr
der,Dr
der,Dr
der,Dr
der,dr
der,dr
der,dr
der,Dr
der,dr
der,dr
der,dr
der,dr
der,dr
der,dr
der,wa
der,wo
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),de
der (F),der
der (M),de
der (M),De
der (M),De
der (M),de
der (M),de
der (M),de
der (M),de
der (M),de
der (M),De
der (M),de
deutlich,tütlech
Deutsch,Dütsch
Deutsch,Dütsch
Deutsch,Dütsch
Deutsch,Dütsch
Deutsche,Dütsch
deutsche,dütschi
deutsche,dütschi
Deutschfreiburger,Dütschfrybùrger
Deutschfreiburger,Tüschfrybùrger
Deutschfreiburger,Tütschfrybùrger
Deutschfreiburger,Tütschfrybùrger
Deutschfreiburger,Tütschschwyz
deutschschweizer,Tütschschwyzer
deutschsprachig,dütschsproochig
deutschsprachige,dütschsproochigi
deutschsprachige,dütschsproochigi
deutschsprachige,tütschspraachìgì
deutschsprachigen,tütschspraaìg
Dezember,Dezämber
Dialekt,Dialäkt
Dialektbeispiele,Dialäktbyyspìù
Dialektbeispiele,Die
die,d
die,d
die,d
die,D
die,D
die,D
die,D
die,D
die,d
die,D
die,D
die,d
die,D
die,d
die,D
die,d
die,d
die,D
die,D
die,d
die,D
die,d
die,d
die,d
die,d
die,d
die,d
die,d
die,d
die,d’
die,Di
die,Di
die,di
die,di
die,di
die,di
die,dì
die,dì
die,dì
die,dì
die,Dì
die,dì
die,dì
die,dì
die,dì
die,Dì
die,Dia
die,Die
die,die
die,wa
die,wa
die,wa
die,wa
die,wa
die,wo
die,wo
die (F),D
die (F),d
die (F),d
die (F),d
die (F),d
die (F),di
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),d
die (pl.),de
die (pl.),di
die (pl.),di
die (pl.),wo
die (pl.),wo
dies,des
dies,Des
dies,des
dies,Des
diese,dìsì
dieser (F),derre
dieser (F),derre
dieser (F),derre
dieser (F),derre
dieser (F),derre
Diminutiv,Diminutiv
Diphthongierung,Diphthongiereg
Diphthongierung,Diphthongiereg
Dissertation,Dissertation
doch,doch
Dörfern,Düerfer
dort,dörte
drei,drüü
drei,drüü
drei,drüü
drei,drüü
drei,drüü
drei,drüü
drei,dryy
drei,dryy
drinnen,dinne
durch,dur
durch,dur
durch,durn
durchgesewtzt,duregsetzt
Ehen,Ehene
