de,gsw
aber,aber
aktualisiert,aktualisiert
alle,alli
alle,alli
alles,alles
alles,alles
alles,alles
als,Als
als,als
Alter,Alta
andere (N),andera
anzweifeln,azwiifla
Armee,armee
atmen,schnuufe
auch,au
auf,uf
auf,uf
aufhören,Ufhöre
aus,us
aus dem,usem
Auslaufmodell,uslaufmodell
bei,bi
beide (pl.),beiDi
beste (F),best
beste (pl.),beste
bitte,bitte
bringt (er/sie/es),bringt
Budget,Budget
bündnerisch,bündnerisch
Chur,Khur
da,Da
da,do
dann,denn
das,DAS
das,das
das,das
das,z
dass,dass
definitiv,definitiv
dem,dem
den (pl.),dena
der (F),d
derweil,derwile
dich,di
die (F),d
die (F),d
die (F),d
die (F),dia
die (F),Die
die (pl.),wo
diesem,demm
dir,diar
dir,diar
Dreckszeitung,drecks zitig
drucke (du),druck
du,du
du,du
du,du
du,du
ein (M),an
ein (M),en
ein (N),es
ein paar,a paar
eine (F),e
einen (M),A
einen (M),EN
einen (M),en
erste (N),erschta
es,as
Feldpost,Feldpost
frechen (pl.),frächa
für,für
für,FÜR
gefunden,gfunda
gegen,geg
gehört,ghört
genug,gnueg
gerade,grad
geschrieben,gschriba
giftig,giftig
glaube ich,glaub
gleich,gLiicH
Globi,globi
Glück,Glück
Griff,griff
Gusche,goscha
habt es (ihr),händs
Hals,HALS
hast (du),hesch
hast es (du),Heschs
hätte (er/sie/es),hetti
hätte (ich),hett
heb (du),heb
Hellebarde,helebarda
heller,heller
heutzutage,hützutag
hilft (er/sie/es),hilft
hoffe (ich),Hoffa
Holster,holster
ich,i
ich,i
ich,IcH
ich,ich
ich habe es,hans
ihr,iar
ihr,Ier
im,im
immer,immer
immer,immer
in,i
in der Nase herumbohren,umepögge
ist (er/sie/es),ISCH
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist er,ischer
ja,jo
Jungs,bueba
Kaffee,Kafi
kann (ich),kann
kannst du,Kasch
keinen (M),KeIN
Keulung,Keulung
komm (du),kum
Kommentar,kommentar
Kommentar,kommentar
kriege (ich),kriag
Lage,lag
Leute,lüt
Leute,lüt
Leute,Lüüt
Mal,mal
mal,mol
Mal,mol
Mann,MAN
Mensch,MENSCH
mich,mi
mich,mi
mit,mit
mit,mit
mitreden,mitreda
muss (er/sie/es),Muess
Nazis,nazis
nicht,nid
nicht,nid
nicht,nid
nicht,nit
nicht,nit
nicht,nit
nicht wahr?,gäll
noch,na
noch,no
noch nicht,Nonig
normal,normal
nu,nu
nut,nur
Nutzer,nutzer
ob,ob
oder,oder
originalen (M),originala
per,via
probiert,probiart
Quöllfrisch,Quellfrisch
Rheintal,rhital
richtig,rächt
sagen,säga
schaffst (du),schaffsch
schlimm,sChLiMm
schrecklichen (M),GRUSIGA
Schweiz,Schwiiz
sehe (ich),gSeh
sehe (ich),gsehn
Seiten,siiTe
sie (pl.),si
siehe (du),Siehe
sind (sie),sind
sind (sie),sind
sind (sie),sInD
so,aso
so,SO
so,so
so,So
so,so
sogar,sogar
Spass,spass
Spinne,Spinna
St. Galler,st. galler
standard,standard
Streifschuss,Striifschuss
Tod,tod
tun (sie),tüan
Typ,Typ
Typen,siacha
um,um
um zu,zum
uns,üs
Unterschied,uNtErScHieD
verbinden (sie),verbinden
verboten,verbotte
verdoppeln,verdopple
verfickt nochmal,verficktnomol
verrückte (pl.),verrückte
Verschwörungstheorien,verschwörigstheoria
versteht (ihr),verstönd
viel,viel
viel,vil
vielleicht,vielicht
von,fu
von,vu
von dem,fum
von der,vur
was,was
was,WAS
was,was
welche (F),Welli
Welt,wält
wenn ich,wenni
werden,werde
wie,Wia
wie,wie
wir brauchen es,Mer händs nötig
zack,zack
zack,zack
ziemlich,zimmli
zu sagen,sega
zückt (er/sie/es),zücht
zum,Zum
zusammenklappt (er/sie/es),zemmaklappt
theoretisch,Theoretisch
können wir es,kömers
bei,bi
Schweizerdeutsch,Schwiizerdütsch
behalten,bhalta
weill,will
wir,mehr
die Mehrheit,dMehrheit
sind (wir),sind
obwohl,Obwohl
wir,mer
die Walliser,dWalliser
auch,au
zu,zu
Friesen,Friesa
zählen,zähla
könnten (wir),könntend
anbieten,abüta
anfangen,afanga
ankommen,ako
anrufen,As Telefon gä
anrufen,alüta
antworten,antworta
arbeiten,Schaffa
arbeiten,arbeita
aufhören,Ufhöra
aufhören,ufhöra
ausruhen,Usruaba
ausruhen,usruhaba
auswählen,uswähla
beenden,beenda
beginnen,afanga
behandeln,behandla
benutzen,bruucha
benutzen,benutza
berühren,aalanga
berühren,berüahra
beschreiben,beschriba
besuchen,bsuacha
bevorzugen,liaber ha
bevorzugen,bevorzuga
bewegen,bewega
bleiben,Bliiba
bleiben,bliba
brauchen,brucha
brennen,brenna
bringen,bringa
denken,Überlegga
denken,denka
denken,denka
drücken,Trucka
drücken,drucka
entscheiden,entscheida
erhalten,erhalta
erinnern,erinnera
erkennen,erkenna
erklären,erklära
erlauben,erlauba
erzählen,Verzela
erzählen,verzella
essen,essa
fahren,fahra
fahren,fahra
fallen,Kia
fallen,keia
finden,finda
fragen,Froga
fragen,froga
fühlen,Gspüra
fühlen,fühla
füllen,fülla
gehen,Laufa
gehen,go
geschehen,Passiara
geschehen,gscheha
gewinnen,gwünna
glauben,glauba
haben,Ha
haben,ha
halten,Heba
halten,halta
hassen,hassa
helfen,helfa
hoffen,hoffa
hören,losa
kaufen,kaufa
kochen,kocha
kommen,Cho
kommen,ko
kosten,kosta
kämpfen,kämpfa
können,könna
lachen,lacha
leben,Läba
leben,leba
legen,Legga
legen,legga
lehren,lehra
lernen,lerna
lesen,lesa
lieben,lieba
lächeln,Lächla
lächeln,lächla
lügen,lüga
machen,macha
nehmen,ne
putzen,putza
reden,reda
reden,reda
reisen,reisa
rennen,seckla
sagen,säga
schauen,Luaga
schauen,luaga
schicken,schicka
schlafen,schlofa
schliessen,Zua macha
