de,gsw
1,eis
10,zäh
100,hundert
1000,tuusig
10000,zätuusig
100000,hunderttuusig
1000000,ei million
1000000000,ei milliard
11,elf
12,zwölf
13,dritzä
14,vierzä
15,füfzä
16,sächzä
17,sibezä
18,achtzä
19,nünzä
2,zwei
20,zwanzg
3,drü
30,drissg
4,vier
40,vierzg
5,füf
50,füfzg
6,sechs
60,sechszg
7,sibä
70,sibezg
8,acht
80,achtzg
9,nüü
90,nünzg
anbieten,abüte
anbieten,aabiata
anbieten,ahbüte
anbieten,abüta
anfangen,ahfanga
anfangen,ahfange
anfangen,afanga
ankommen,ahko
ankommen,ahcho
ankommen,ako
anrufen,alüte
anrufen,ahlüüta
anrufen,ahlüte
anrufen,ahlüta
antworten,antworta
antworten,antworte
antworten,antworta
arbeiten,arbeite
arbeiten,schaffe
arbeiten,schaffa
aufhören,uufhöra
aufhören,ufhöre
aufhören,ufhöra
ausruhen,usruabe
ausruhen,usruhbe
auswählen,uuswähla
auswählen,uswähle
auswählen,uswähla
beenden,beende
beenden,beenda
beenden,fertig mache
beenden,beenda
beginnen,ahfange
beginnen,ahfange
beginnen,afanga
behandeln,behandla
behandeln,behandle
behandeln,behandla
benutzen,benutza
benutzen,nutze
benutzen,benutza
berühren,berüehra
berühren,berühre
berühren,berüahra
beschreiben,beschriibe
beschreiben,beschriiba
beschreiben,beschriba
besuchen,bsuecha
besuchen,bsueche
besuchen,bsuacha
bevorzugen,bevorzuge
bevorzugen,bevorzücha
bevorzugen,bevorzuge
bevorzugen,bevorzuga
bewegen,bewega
bewegen,bewege
bewegen,bewega
bleiben,bliiba
bleiben,bliibe
bleiben,bliiba
brauchen,brucha
brauchen,bruuche
brauchen,brucha
brennen,brenna
brennen,brenne
brennen,brenna
bringen,bringe
bringen,bringa
bringen,bringe
bringen,bringa
denken,denka
denken,denke
denken,denka
drücken,drocka
drücken,drucke
drücken,drugge
drücken,drücka
entscheiden,entscheida
entscheiden,entscheide
entscheiden,entscheida
erhalten,becho
erhalten,kriaga
erhalten,becho
erhalten,kriaga
erinnern,erinnere
erinnern,erinnera
erinnern,erinnere
erinnern,erinnera
erkennen,erkenne
erkennen,erkenna
erkennen,erchenne
erkennen,erkenna
erklären,erklära
erklären,erchläre
erklären,erklära
erlauben,erlauba
erlauben,erlaube
erlauben,erlauba
erzählen,verzella
erzählen,erzähle
erzählen,erzähla
essen,essa
essen,esse
essen,essa
fahren,fahra
fahren,fahre
fahren,fahra
fallen,falle
fallen,gheie
fallen,falle
fallen,keiia
finden,finda
finden,finde
finden,finda
fragen,froga
fragen,frage
fragen,froga
fühlen,fühla
fühlen,fühle
fühlen,fühla
füllen,fölla
füllen,fülle
füllen,fülla
gehen,goh
gehen,goh
gehen,go
geschehen,gscheh
geschehen,passiera
gewinnen,gwünne
gewinnen,gwünna
gewinnen,gwünne
gewinnen,gwünna
glauben,glauba
glauben,galube
glauben,globa
haben,ha
haben,ha
haben,ha
halten,heba
halten,hebe
halten,heba
hassen,hasse
hassen,hasse
hassen,hassa
helfen,helfa
helfen,helfe
helfen,helfa
hoffen,hoffa
hoffen,hoffe
hoffen,hoffa
hören,höra
hören,lose
hören,höra
kaufen,kaufa
kaufen,chaufe
kaufen,koofa
kochen,kocha
kochen,choche
kochen,kocha
kommen,kho
kommen,cho
kommen,ko
kosten,kosta
kosten,choschte
kosten,kosta
kämpfen,kämpfe
kämpfen,kämpfa
kämpfen,kämpfe
kämpfen,kämpfa
können,könna
können,chönne
können,könna
lachen,lacha
lachen,lache
lachen,lacha
leben,leba
leben,lebe
leben,leba
legen,lege
legen,lega
legen,lege
legen,lega
lehren,lehre
lehren,beibringe
lehren,lehre
lernen,lerna
lernen,lerne
lernen,lerna
lesen,lesa
lesen,lesse
lesen,lesa
lieben,liebe
lieben,liebe
lieben,liebe
lieben,liaba
lächeln,lächle
lächeln,lächla
lächeln,lache
lächeln,lächla
lügen,lüge
lügen,lüüga
lügen,lüge
lügen,lüga
machen,mache
machen,macha
machen,machä
machen,macha
nehmen,neh
nehmen,näh
nehmen,neh
putzen,putze
putzen,potza
putzen,putze
putzen,pütza
reden,reda
reden,rede
reden,reda
reisen,reisa
reisen,reise
reisen,reisa
rennen,renna
rennen,renne
rennen,springa
sagen,säge
sagen,sega
sagen,säge
sagen,säga
schauen,luaga
schauen,luege
schauen,luaga
schicken,schicke
schicken,schicka
schicken,schicke
schicken,schicka
schlafen,schlafe
schlafen,penne
schlafen,schlofa
schlafen,schlafe
schlafen,schlofa
schliessen,schlüsse
schliessen,schlüüse
schliessen,bschlüüse
schliessen,schlüssa
schmerzen,schmerza
schmerzen,weh mache
schmerzen,schmerza
schneiden,schniide
schneiden,schniide
schneiden,schniida
schreiben,schriibe
schreiben,schriiba
schreiben,schriibe
schreiben,schreia
schreien,schreie
schreien,schreia
schreien,schreie
schreien,schreia
sehen,gseh
sehen,secha
sehen,gseh
sehen,seha
sein,sii
sein,sii
sein,si
sein,sii
singen,singa
singen,singe
singen,singa
sitzen,sitze
sitzen,hocka
sitzen,sitze
sitzen,sitza
spielen,spela
spielen,spiele
spielen,spiela
sprechen,sprecha
sprechen,Reda
sprechen,rede
sprechen,sprecha
springen,gumpa
springen,springe
springen,gumpa
sterben,sterba
sterben,sterbe
sterben,sterba
studieren,studiara
studieren,studiere
studieren,studiera
tanzen,tanza
tanzen,tanze
tanzen,tanza
treffen,treffa
treffen,treffe
treffen,treffa
trinken,trinke
trinken,suufe
trinken,trinka
trinken,trinke
trinken,trinka
töten,umbringe
töten,töta
töten,töte
töten,töta
unterstützen,unterstütza
unterstützen,unterstütze
unterstützen,unterstütza
verbessern,verbessere
verbessern,verbessera
verbessern,verbessre
verbessern,verbessera
vergeben,vergeh
vergeben,vergäh
vergessen,vergesse
vergessen,vergessa
vergessen,vergesse
vergessen,vergessa
vergleichen,vergliiche
vergleichen,vergliiche
vergleichen,verglicha
verkaufen,verkaufa
verkaufen,verchaufe
verkaufen,verkoofa
verlassen,verloh
verlassen,verlah
verlassen,verloh
verlieren,verlüüra
verlieren,verlüre
verlieren,verlüra
versprechen,versprecha
versprechen,verspreche
versprechen,versprecha
verstecken,verstecka
verstecken,verstecke
verstecken,verstecka
verstehen,verstoh
verstehen,chegge
verstehen,verstah
verstehen,verstoh
verstehen,verstoh
versuchen,versuacha
versuchen,versueche
versuchen,versuacha
vorschlagen,vorschloh
vorschlagen,vorschlaha
vorschlagen,vorschlah
vorschlagen,vorschloh
waschen,wäscha
waschen,wäsche
waschen,wäscha
weinen,brüele
weinen,weine
weinen,brüele
weinen,hüla
weitermachen,wiitermaha
weitermachen,wiitermache
weitermachen,wiitermacha
werfen,werfa
werfen,werfe
werfen,wörfa
wiederholen,wiederhola
wiederholen,wiederhole
wiederholen,wiederhola
wissen,wössa
wissen,wüsse
wissen,wüssa
wollen,wella
wollen,welle
wollen,wella
zahlen,zahla
zahlen,zahle
zahlen,zahla
zeigen,zaga
zeigen,zeige
zeigen,zeiga
zerstören,zerstöra
zerstören,kabutt mache
zerstören,zerstöra
ziehen,züche
ziehen,zücha
ziehen,zieh
ziehen,züha
zubereiten,zuabereite
zubereiten,zuebereite
zuhören,zuahöra
zuhören,zuelosse
zuhören,zuahöra
zählen,zähla
zählen,zelle
zählen,zähla
zurückkehren,zrugg cho
zurückkehren,zruckkho
zurückkehren,zruggcho
zurückkehren,zruckko
1,aas
1,Eis
1,eis
1,Ais
2,zwo
2,Zwei
2,zwei
2,Zwai
3,drü
3,drü
3,drü
3,Drüü
4,vier
4,vier
4,vier
4,Vio
5,füüf
5,füüf
5,füf
5,Füüf
6,sechs
6,sechs
6,sechs
6,Sächs
7,siba
7,sibä
7,sibe
7,Sibe
8,acht
8,acht
8,acht
8,Acht
9,nüün
9,nün
9,nün
9,Nü
10,zehn
10,zäh
10,zäh
10,Zäh
11,älf
11,elf
11,elf
11,Elf
12,zwölf
12,zwölf
12,zwölf
12,Zwölf
13,drizehn
13,drizäh
13,driztzäh
13,Dritzä
14,vierzehn
