de,gsw
1,eis
1,Eis
1,Eis
10,zäh
10,Zäh
10,Zeh
100,hundert
100,Hundert
100,Hundert
1000,tuusig
1000,Tuusig
1000,Tuusig
10000,Zähtusig
10000,zähtuusig
10000,Zehtuusig
100000,hunderttuusig
100000,Hunderttuusig
100000,Hunderttuusig
1000000,ei million
1000000,Million
1000000,Million
1000000000,ei milliard
1000000000,Milliard
1000000000,Milliard
11,elf
11,Elf
11,Elf
12,zwölf
12,Zwölf
12,Zwölf
13,driizäh
13,Drizä
13,Drizeh
14,Vierzä
14,vierzäh
14,Vierzeh
15,Füfzä
15,füfzäh
15,Füfzeh
16,Sächzä
16,sechzäh
16,Sechzeh
17,Sibzä
17,siebzäh
17,Siebzeh
18,Achtzä
18,achtzäh
18,Achzeh
19,Nünzä
19,nünzäh
19,Nünzeh
2,Zwai
2,zwei
2,Zwei
20,zwanzg
20,Zwanzg
20,Zwanzg
3,drü
3,Drü
3,Drü
30,driisg
30,Driisg
30,Drisg
4,vier
4,Vier
4,Vier
40,vierzg
40,Vierzg
40,Virzg
5,füf
5,Füf
5,Füüf
50,füfzg
50,Füfzg
50,Füfzg
6,Sächs
6,sechs
6,Sechs
60,Sächzg
60,sechzg
60,Sechzg
7,Siebä
7,siebe
7,Siebe
70,Sibedzg
70,siebezg
70,Siebezg
8,acht
8,Acht
8,Acht
80,achtzg
80,Achtzg
80,Achzg
9,nün
9,Nün
9,Nün
90,nünhundert
90,Nünzg
90,Nünzg
