de,gsw
1,Eis
2,Zwei
3,Drü
4,Vier
5,Füf
6,Sächs
7,Sibe
8,Acht
9,Nün
10,Zäh
11,Elf
12,Zwölf
13,Drizä
14,Vierzä
15,Füfzä
16,Sächzä
17,Sibzä
18,Achzä
19,Nünzä
20,Zwanzg
30,Drissg
40,Vierzg
50,Füfzg
60,Sächzg
70,Sibezg
80,Achzg
90,Nünzg
100,Hundert
1000,Tuusig
10000,Zähtuusig
100000,Hunderttuusig
1000000,Ei million
1000000000,Ei milliarde
anbieten,ahbüte
anbieten,abüütä
anfangen,ahfange
anfangen,afangä
ankommen,ahcho
ankommen,acho
anrufen,ahlüte
anrufen,alüütä
antworten,antworte
antworten,antwortä
arbeiten,schaffe
arbeiten,schaffä
aufhören,ufhöre
aufhören,ufhörä
ausruhen,usrueh
ausruhen,usruebe
ausruhen,usruebe
auswählen,uswähle
auswählen,uswählä
beenden,fertig mache
beginnen,ahfange
beginnen,afangä
behandeln,behandle
behandeln,behandlä
benutzen,bruche
benutzen,benutzä
berühren,berüehre
berühren,berüehre
beschreiben,beschriibe
beschreiben,beschriibä
besuchen,bsueche
besuchen,bsuechä
bevorzugen,bevorzuge
bevorzugen,bevorzugä
bewegen,bewege
bewegen,bewegä
bleiben,bliibe
bleiben,bliibä
brauchen,bruche
brauchen,bruchä
brennen,brenne
brennen,brännä
bringen,bringe
bringen,bringä
denken,denne
denken,denkä
drücken,drucke
drücken,truckä
entscheiden,entscheide
entscheiden,entscheidä
erhalten,becho
erhalten,übercho
erinnern,erinnere
erinnern,erinnerä
erkennen,erkenne
erkennen,erchennä
erklären,erkläre
erklären,erchlärä
erlauben,erlaube
erlauben,erlaubä
erzählen,verzelle
erzählen,verzellä
essen,Ässä
essen,esse
essen,essä
fahren,fahre
fahren,fahrä
fallen,Abeflügä
fallen,falle
fallen,gheiä
finden,Findä
finden,finde
finden,findä
fragen,froge
fragen,frogä
fühlen,fühle
fühlen,gspürä
füllen,fülle
füllen,füllä
gehen,goh
gehen,laufä
geschehen,gscheh
geschehen,gscheh
gewinnen,gwünne
gewinnen,gwünnä
glauben,glaube
glauben,glaubä
haben,ha
haben,ha
halten,hebe
halten,hebä
hassen,hasse
hassen,hassä
helfen,helfe
helfen,helfä
hoffen,hoffe
hoffen,hoffä
hören,ghöre
hören,lose
hören,losä
kaufen,chaufe
kaufen,chaufä
kochen,choche
kochen,chochä
kommen,cho
kommen,cho
kosten,choste
kosten,chostä
kämpfen,kämpfe
kämpfen,kämpfä
können,chöne
können,chöned
lachen,lache
lachen,lachä
leben,lebe
leben,läbä
legen,lege
legen,legä
lehren,bibringe
lehren,legrä
lernen,lerne
lernen,lernä
lesen,lese
lesen,lesä
lieben,liebe
lieben,liebä
lächeln,lächle
lächeln,lächlä
lügen,Lüüge
lügen,lüge
lügen,lügä
machen,mache
machen,machä
nehmen,neh
nehmen,neh
putzen,putze
putzen,butzä
reden,Redä
reden,rede
reden,redä
reisen,reise
reisen,reisä
rennen,renne
rennen,rennä
sagen,säge
sagen,sägä
schauen,Luegä
schauen,luege
schauen,luegä
schicken,schicke
schicken,schickä
schlafen,Schlofä
schlafen,schlofe
schlafen,schlofe
schliessen,schlüsse
schliessen,schlüssä
schmerzen,weh tue
schmerzen,schmerzä
schneiden,schniide
schneiden,schniidä
schreiben,schriibe
schreiben,schriibä
schreien,schreie
schreien,schreiä
sehen,gseh
sehen,gseh
sein,sii
sein,si
singen,singe
singen,singä
sitzen,sitze
sitzen,sitzä
spielen,spiele
spielen,spielä
sprechen,rede
sprechen,redä
springen,springe
springen,springä
sterben,sterbe
sterben,stärbä
studieren,studiere
studieren,studierä
tanzen,tanze
tanzen,tanzä
treffen,treffe
treffen,treffä
trinken,trinke
trinken,trinkä
töten,töte
töten,tötä
unterstützen,unterstütze
unterstützen,helfä
verbessern,verbessere
verbessern,verbesserä
vergeben,vergeh
vergessen,Vergässä
vergessen,vergesse
vergessen,vergässä
vergleichen,vergliche
vergleichen,verglichä
verkaufen,Verchaufä
verkaufen,verchaufe
verkaufen,verchaufä
verlassen,verloh
verlassen,verloh
verlieren,verlüre
verlieren,verlüüre
versprechen,verspreche
versprechen,versprechä
verstecken,verstecke
verstecken,versteckä
verstehen,Verschtoh
verstehen,verstoh
verstehen,verstoh
versuchen,versueche
versuchen,probierä
vorschlagen,vorschloh
vorschlagen,vorschloh
waschen,wäsche
waschen,wäschä
weinen,brüele
weinen,brüellä
weitermachen,wiitermache
weitermachen,wiitermachä
werfen,wörfe
werfen,rüere
wiederholen,Wiederholä
wiederholen,wiederhile
wiederholen,wiederholä
wissen,wüsse
wissen,wüssä
wollen,Wöllä
wollen,wölle
