de,gsw
(brütende) Henne,Gluggärä
100-Franken-Note,lappä
Abbildung,Helgä
Abfalleimer,Güselchübel
abgeben,abgeh
abgehen (sie),abgönd
abgesehen,abgseh
abnehmen,schwiinä
abnehmend,nidsigänds
abrackern,schtramplä
abschneiden,abhauä
Abstellplatz (klein und geschlossen),Schlupf
absterben (langsam),abserblä
Abteilung,Abteilig
abwärts,nidsi
abwärts,nidsi
Abwaschtuch,Ufwäschludärä
abwertend reden,schnööde
ach so,jä so
Affentheater,Komedi
ähnlich,abgschnittä
Akne,Biibäli
Akne,Büggäli
Alkoholrausch,Balari
Alkoholrausch,Chlapf
Alkoholrausch,Siäch
allerlei,alller Gattig
allerlei,Züügs und Sachä
alles Mögliche,all de Güggär
Alleskönner,Sibäsiäch
allmählich,naadigsnaa
Allmend,Allmig
als,als
als,als
also,aso
Altersbeschwerden,Gnäggi
Alterssitz auf Bauernhof,Schtöckli
altes Fahrzeug,Göpäl
am Bahngeleise arbeiten,grampä
Ameise,Abäsä
Ameise,Wormasslä
an,a
an,a
an den Haaren reissen,tschuupä
Analytiker,Analytiker
anbrennen,aahockä
anderem,anderem
andererseits,handkeerum
ändern (zum schlechten),umgheiä
andeuten,aatöönä
anfassen,aalängä
Anfeuerholz,Spiiserli
Angeber,Blöffär
angebrannt,aaghockät
angebrannt riechen,bräusälä
angebrannt riechen,schmüürzälä
Angst,Schiss
Angstgefühl,Chnüüschlotteri
Angsthase,Schisshaas
ängstlicher Kerl,Hösi
angstmachend,gfüürchig
animierend,aamächelig
Anisgebäck,Chräbäli
ankleiden,aaleggä
anmachen,grabschä
anonym,anonym
anrufen,aalüütä
anschauen,aaluägä
Anschnitt bei Brot,Aahäuer
anschreien,aabrüälä
anschreien,aachräiä
anschubsen (beim Schaukeln),aagää
ansprechen,aahauä
ansprechend,aamächälig
Anzahl,Tschuppälä
Anzahl,Zilättä
Anzug (guter),Schaalä
Apfel (unreifer),Schorniggäl
Aprikose,Barillä
Aprikose,Baringäl
Aprikose,Barungäl
Arbeit,Arbeit
Arbeit,Büätz
Arbeit (anstrengende),Chrampf
arbeite (ich),schaffe
arbeiten (eifrig),schineglä
arbeiten (körperlich),wärchä
arbeiten (streng),chrampfä/chrüplä
Arbeiter,Büäzer
Arbeitgeber,Arbeitgeber
