de,gsw
1,Eis
1,eis
1,Eis
10,zää
10,Zäh
10,Zäh
100,Hundert
100,hundert
100,Hundert
1000,Tuusig
1000,tuusig
1000,Tuusig
10000,Zäähtuusig
10000,Zähtusig
10000,zähtuusig
100000,Hunderttuusig
100000,hunderttuusig
100000,Hunderttuusig
1000000,Ei Million
1000000,Eimillion
1000000,en million
1000000000,Ei Milliard
1000000000,Eimilliardä
1000000000,en milliard
11,Elf
11,elf
11,Elf
12,Zwölf
12,zwölf
12,Zwölf
13,Driizäh
13,drizäh
13,Drizäh
14,Viärzäh
14,vierzäh
14,Vierzäh
15,Füfzäh
15,füfzäh
15,Füfzäh
16,Sächzäh
16,Sächzäh
16,sechzäh
17,Siebzäh
17,siebzäh
17,Siebzäh
18,achtzäh
18,Achtzäh
18,Achzäh
19,Nünzäh
19,nünzäh
19,Nünzäh
2,Zwei
2,Zwei
2,zwoi
20,Zwänzg
20,zwänzg
20,Zwänzg
3,Drü
3,drü
3,Drü
30,Driisg
30,Driss
30,drissg
4,Viär
4,viär
4,Vier
40,Viärzg
40,viärzg
40,Vierzg
5,Füüf
5,füüf
5,Füüf
50,Füfzg
50,füfzg
50,Füfzg
6,Sächs
6,sächs
6,Sächs
60,Sächzg
60,sächzg
60,Sächzg
7,Siebä
7,siebä
7,Siebe
70,Siebezg
70,siebezg
70,Siebezg
8,Acht
8,acht
8,Acht
80,achtzg
80,Achzg
80,Achzg
9,Nüün
9,nüün
9,Nüün
90,nünzg
90,Nünzg
90,Nüünzg
anbieten,aabiete
anbieten,Abiete
anbieten,Aabüüte
anfangen,afah
anfangen,Afange
anfangen,Afange
ankommen,aacho
ankommen,Acho
ankommen,Aacho
anrufen,aalüte
anrufen,Alüte
anrufen,Aalüte
antworten,antworte
antworten,Antworte
antworten,Antworte
arbeiten,arbeite
arbeiten,Schaffe
arbeiten,Schaffe
aufhören,uufhöre
aufhören,Ufhöre
aufhören,Ufhöre
ausruhen,uusrue
ausruhen,Usruehbe
ausruhen,Uusrue
auswählen,uuswähle
auswählen,Uswähle
auswählen,Uswähle
beenden,abschlüsse
beenden,Beende
beenden,Fertig mache
beginnen,aafange
beginnen,Afaah
beginnen,Aafange
behandeln,behandle
behandeln,Behandle
behandeln,behandle
benutzen,bruuche
benutzen,Bruuche
benutzen,Bruuche
berühren,berüere
berühren,Brüehre
berühren,Berüehre
beschreiben,beschriibe
beschreiben,Beschriibe
beschreiben,Beschriibe
besuchen,bsueche
besuchen,Bsueche
besuchen,Bsueche
bevorzugen,bevorzuge
bevorzugen,Bevorzuge
bevorzugen,Bevorzuge
bewegen,bewege
bewegen,Bewege
bewegen,Bewege
bleiben,bliibe
bleiben,Bliibe
bleiben,Bliibe
brauchen,bruuche
brauchen,Bruuche
brauchen,Bruuche
brennen,bränne
brennen,Brenne
brennen,Bränne
bringen,bringe
bringen,Bringe
bringen,Bringe
denken,dänke
denken,Dänke
denken,Dänke
drücken,drücke
drücken,Drucke
drücken,Drücke
entscheiden,entscheide
entscheiden,Entacheide
entscheiden,Entscheide
erhalten,becho
erhalten,Becho
erhalten,Übercho
erinnern,erinnere
erinnern,Erinnere
erinnern,Erinnere
erkennen,erkänne
erkennen,Erkenne
erkennen,erkänne
erklären,erkläre
erklären,Erkläre
erklären,Erkläre
erlauben,erlaube
erlauben,Erlaube
erlauben,erlaube
erzählen,erzähle
erzählen,Verzelle
erzählen,Verzelle
essen,ässe
essen,Ässe
essen,Ässe
fahren,fahre
fahren,Fahre
fahren,Fahre
fallen,gheie
fallen,Falle
fallen,Gheye
finden,finde
